Repo	Domain	数据安全	权限范围	网络请求	依赖来源	SecurityVerdict	Function1_Name	Function1_Score(1-5)	Function2_Name	Function2_Score(1-5)	DepthScore(1-5)	Threshold	ExclusionReason	Integration_集成难度(1-5)	Integration_MCP兼容(1-5)	Integration_冲突风险(1-5)	Integration_维护成本(1-5)	Integration_上下文依赖(1-5)	Integration_小计	Coverage_Stages	Coverage_Description
ARIS	文献检索	PASS	PASS	PASS	PASS	APPROVED	Literature Search	3.0	Workflow Orchestration	3.5	3.5	CANDIDATE	N/A	3	3	3	5	3	17	文献,分析,写作,投稿	覆盖完整科研闭环，从idea生成到实验执行、论文写作到答辩（rebuttal）的全流程自动化。62个skill覆盖AI/ML研究全生命周期。
AI-Powered-Literature-Review-Skills	文献综述	PASS	PASS	PASS	PASS	APPROVED	Literature Review	3.5	N/A	N/A	3.5	CANDIDATE	N/A	3	4	2	3	3	15	文献	专注文献检索与综述阶段，提供8阶段系统综述工作流。支持CNKI、WOS、ScienceDirect、PubMed多数据库并行检索。
academic-writing-skills	学术写作	PASS	PASS	PASS	PASS	APPROVED	Academic Writing	4.0	N/A	N/A	4.0	AUTO-RECOMMEND	N/A	4	2	3	4	5	18	写作	覆盖学术写作与后处理阶段，支持LaTeX/Typst/Word多格式学术文档生成。提供paper-audit多视角审阅系统（8维度评分、5层审稿流程）。
nature-skills	Nature系列	PASS	PASS	PASS	PASS	APPROVED	Figure Generation	4.0	Journal-Specific Skills	4.0	4.0	AUTO-RECOMMEND	N/A	4	2	3	4	5	18	写作,投稿	覆盖论文写作、图表制作到投稿回复的Nature期刊发表流程。6个skill专注高影响因子期刊格式规范。
scientific-agent-skills	数据分析	PASS	PASS	PASS	PASS	APPROVED	Statistical Data Analysis	4.0	Research Tool/Framework	5.0	4.5	AUTO-RECOMMEND	N/A	4	4	2	5	5	20	文献,分析,写作	覆盖文献检索、数据分析到论文写作的广泛科研阶段。135个skill涵盖20+科学领域，提供100+数据库查询能力。
citation-assistant	引用管理	PASS	PASS	PASS	PASS	APPROVED	Citation Management	3.5	N/A	N/A	3.5	CANDIDATE	N/A	4	2	4	3	3	16	文献	专注引用管理阶段，提供多源文献检索（Semantic Scholar、CrossRef）、BibTeX自动生成和期刊质量评估功能。
paper-plot-skills	图表生成	PASS	PASS	PASS	PASS	APPROVED	Figure Generation	4.0	N/A	N/A	4.0	AUTO-RECOMMEND	N/A	4	2	3	4	5	18	分析	覆盖科研结果可视化阶段，提供9种来自真实论文的图表样式。支持从原始数据生成图表和从论文图片复现风格两种模式。
AI-Research-SKILLs	科研工具	PASS	PASS	PASS	PASS	APPROVED	Research Tool/Framework	4.0	N/A	N/A	4.0	AUTO-RECOMMEND	N/A	4	4	2	4	5	19	文献,分析,写作	覆盖AI研究全生命周期，从文献调研、实验设计、模型训练到论文撰写。98个skill按23个类别组织。
medsci-skills	医学专用	PASS	PASS	PASS	PASS	APPROVED	Medical Research	4.5	Statistical Data Analysis	4.0	4.5	AUTO-RECOMMEND	N/A	4	2	4	4	4	18	文献,分析,写作,投稿	覆盖医学科研全流程，从文献检索、研究设计、数据分析到论文撰写与投稿合规。39个医学专用skill专注于流行病学、生物统计学和肿瘤学场景。
Imbad0202/academic-research-skills	学术研究	PASS	PASS	PASS	PASS	APPROVED	Literature Review	4.5	Workflow Orchestration	4.0	4.5	AUTO-RECOMMEND	N/A	3	4	2	2	3	11	文献,分析,写作,审稿,修订,发表	覆盖研究全生命周期：文献检索→综述→论文写作→审稿→修订→发表，含PRISMA流程和Integrity Gates。
